991 24,Horné Plachtince
991 25,Horné Príbelce
974 05,Horné Pršany
962 55,Horné Rykynčice
925 03,Horné Saliby
935 84,Horné Semerovce
951 71,Horné Sľažany
914 42,Horné Srnie
991 03,Horné Strháre
956 03,Horné Štitáre
920 66,Horné Trhovište
935 81,Horné Turovce
972 22,Horné Vestenice
980 26,Horné Zahorany
920 52,Horné Zelenice
962 51,Horný Badín
930 33,Horný Bar
926 01,Horný Čepeň
935 34,Horný Ďur
013 42,Horný Hričov
962 41,Horný Jalšovík
925 71,Horný Jatov
976 02,Horný Jelenec
038 02,Horný Kalník
018 21,Horný Lieskov
952 01,Horný Ohaj
935 37,Horný Pial
062 01,Horný Smokovec
027 44,Horný Štefanov
962 75,Horný Tisovník
038 48,Horný Turček
023 45,Horný Vadičov
951 06,Horný Vinodol
072 02,Horovce
020 62,Horovce
925 45,Hoste
980 04,Hostice
951 94,Hostie
980 23,Hostišovce
951 02,Hosťová
951 91,Hosťovce
067 35,Hostovice
020 01,Hoštiná
059 11,Hozelec
059 12,Hôrka
916 32,Hôrka nad Váhom
010 04,Hôrky
966 78,Hrabičov
082 33,Hrabkov
067 73,Hrabová Roztoka
